word,root
بِسْمِ,سمم,بسم
ٱللَّهِ,الله,الله
ٱلرَّحْمَٰنِ,رحم,الرحمان
ٱلرَّحِيمِ,رحم,الرحيم
ٱلْحَمْدُ,حمد,الحمد
لِلَّهِ,لله,لله
رَبِّ,ربب,رب
ٱلْعَٰلَمِينَ,علم,العالمين
مَٰلِكِ,ملك,مالك
يَوْمِ,يوم,يوم
ٱلدِّينِ,دين,الدين
إِيَّاكَ,اياك,اياك
نَعْبُدُ,عبد,نعبد
وَإِيَّاكَ,واياك,واياك
نَسْتَعِينُ,عون,نستعين
ٱهْدِنَا,هدن,اهدنا
ٱلصِّرَٰطَ,الصراط,الصراط
ٱلْمُسْتَقِيمَ,قوم,المستقيم
صِرَٰطَ,صراط,صراط
ٱلَّذِينَ,ذين,الذين
أَنْعَمْتَ,انعمت,انعمت
عَلَيْهِمْ,علو,عليهم
غَيْرِ,غير,غير
ٱلْمَغْضُوبِ,غضب,المغضوب
وَلَا,ولا,ولا
ٱلضَّآلِّينَ,ضلل,الضالين
الٓمٓ,لمي,الم
ذَٰلِكَ,ذلل,ذالك
ٱلْكِتَٰبُ,كتب,الكتاب
لَا,لا,لا
رَيْبَ,ريب,ريب
فِيهِ,فوه,فيه
هُدًى,هدى,هدى
لِّلْمُتَّقِينَ,قين,للمتقين
يُؤْمِنُونَ,يومنون,يومنون
بِٱلْغَيْبِ,غيب,بالغيب
وَيُقِيمُونَ,قيم,ويقيمون
ٱلصَّلَوٰةَ,الصلواة,الصلواة
وَمِمَّا,ومما,ومما
رَزَقْنَٰهُمْ,رزق,رزقناهم
يُنفِقُونَ,فقق,ينفقون
وَٱلَّذِينَ,ذين,والذين
بِمَآ,بما,بما
أُنزِلَ,نزل,انزل
إِلَيْكَ,اليك,اليك
وَمَآ,وما,وما
مِن,منن,من
قَبْلِكَ,قبل,قبلك
وَبِٱلْءَاخِرَةِ,وبالءاخرة,وبالءاخرة
هُمْ,همم,هم
يُوقِنُونَ,وقن,يوقنون
أُو۟لَٰٓئِكَ,اولايك,اولايك
عَلَىٰ,علىا,علىا
مِّن,منن,من
رَّبِّهِمْ,ربب,ربهم
وَأُو۟لَٰٓئِكَ,واولايك,واولايك
هُمُ,همم,هم
ٱلْمُفْلِحُونَ,فلح,المفلحون
إِنَّ,ان,ان
كَفَرُوا۟,كفر,كفروا
سَوَآءٌ,سوء,سواء
ءَأَنذَرْتَهُمْ,ءانذرتهم,ءانذرتهم
أَمْ,ام,ام
لَمْ,لمم,لم
تُنذِرْهُمْ,نذر,تنذرهم
خَتَمَ,ختم,ختم
ٱللَّهُ,الله,الله
قُلُوبِهِمْ,قلب,قلوبهم
وَعَلَىٰ,وعلىا,وعلىا
سَمْعِهِمْ,سمع,سمعهم
وَعَلَىٰٓ,وعلىا,وعلىا
أَبْصَٰرِهِمْ,ابصارهم,ابصارهم
غِشَٰوَةٌ,غشو,غشاوة
وَلَهُمْ,همم,ولهم
عَذَابٌ,عذب,عذاب
عَظِيمٌ,عظيم,عظيم
وَمِنَ,منن,ومن
ٱلنَّاسِ,نوس,الناس
مَن,منن,من
يَقُولُ,قول,يقول
ءَامَنَّا,ءامنا,ءامنا
بِٱللَّهِ,بالله,بالله
وَبِٱلْيَوْمِ,يوم,وباليوم
ٱلْءَاخِرِ,الءاخر,الءاخر
وَمَا,وما,وما
هُم,همم,هم
بِمُؤْمِنِينَ,بمومنين,بمومنين
يُخَٰدِعُونَ,خدع,يخادعون
ٱللَّهَ,الله,الله
ءَامَنُوا۟,ءامنوا,ءامنوا
يَخْدَعُونَ,خدع,يخدعون
إِلَّآ,الا,الا
أَنفُسَهُمْ,نفس,انفسهم
يَشْعُرُونَ,شعر,يشعرون
فِى,فى,فى
قُلُوبِهِم,قلب,قلوبهم
مَّرَضٌ,مرض,مرض
فَزَادَهُمُ,زود,فزادهم
مَرَضًا,مرض,مرضا
أَلِيمٌۢ,يمم,اليم
بِمَا,بما,بما
كَانُوا۟,كين,كانوا
يَكْذِبُونَ,كذب,يكذبون
وَإِذَا,واذا,واذا
قِيلَ,قول,قيل
