word,root
بسم,بسم
الله,الل
الرحمان,رحم
الرحيم,رحم
الحمد,حمد
لله,لله
رب,رب
العالمين,علم
مالك,الك
يوم,يوم
الدين,دين
اياك,ايك
نعبد,عبد
واياك,ويا
نستعين,ستع
اهدنا,اهد
الصراط,صرط
المستقيم,قيم
صراط,صرط
الذين,الذين
انعمت,عمت
عليهم,علي
غير,غير
المغضوب,غضب
ولا,ولا
الضالين,ضال
الم,الم
ذالك,ذلك
الكتاب,كتب
لا,لا
ريب,ريب
فيه,فيه
هدى,هدى
للمتقين,متق
يومنون,يوم
بالغيب,غيب
ويقيمون,يقم
الصلواة,صلا
ومما,ومم
رزقناهم,رزق
ينفقون,نفق
والذين,ذين
بما,بما
انزل,نزل
اليك,الك
وما,وما
من,من
قبلك,قبل
وبالءاخرة,وبالءاخرة
هم,هم
يوقنون,يوق
اولايك,ولي
علىا,على
ربهم,ربهم
واولايك,وول
المفلحون,فلح
ان,ان
كفروا,كفر
سواء,سوء
ءانذرتهم,ءانذر
ام,ام
لم,لم
تنذرهم,نذر
ختم,ختم
قلوبهم,قلب
وعلىا,على
سمعهم,سمع
ابصارهم,بصر
غشاوة,غشو
ولهم,لهم
عذاب,عذب
عظيم,عظم
ومن,ومن
الناس,ناس
يقول,يقل
ءامنا,ءام
بالله,بلل
وباليوم,ليم
الءاخر,ءخر
بمومنين,بمم
يخادعون,خدع
ءامنوا,ءمن
يخدعون,خدع
الا,الا
انفسهم,نفس
يشعرون,شعر
فى,فى
مرض,مرض
فزادهم,فزد
مرضا,رضا
اليم,الم
كانوا,كان
يكذبون,كذب
واذا,وذا
قيل,قيل
لهم,لهم
تفسدوا,فسد
الارض,ارض
قالوا,قال
انما,انم
نحن,نحن
مصلحون,صلح
انهم,نهم
المفسدون,فسد
ولاكن,ولا
كما,كما
ءامن,ءمن
انومن,ومن
السفهاء,فهء
يعلمون,علم
لقوا,لقا
خلوا,خلا
الىا,الى
شياطينهم,شيط
انا,انا
معكم,عكم
مستهزءون,هزء
يستهزي,سهز
بهم,بهم
ويمدهم,يمد
طغيانهم,طغي
يعمهون,يعم
اشتروا,شتر
الضلالة,ضلل
بالهدىا,هدى
فما,فما
ربحت,ربح
تجارتهم,جرت
مهتدين,هتد
مثلهم,مثل
كمثل,كمثل
الذى,الذى
استوقد,وقد
نارا,نرا
فلما,فلم
اضاءت,ضءت
ما,ما
حوله,حول
ذهب,ذهب
بنورهم,بنر
وتركهم,وتر
ظلمات,ظلم
يبصرون,بصر
صم,صم
بكم,بكم
عمى,عمى
فهم,فهم
يرجعون,رجع
او,او
كصيب,كصب
السماء,سمء
ورعد,رعد
وبرق,برق
يجعلون,جعل
اصابعهم,صبع
ءاذانهم,ءاذ
الصواعق,صعق
حذر,حذر
الموت,موت
والله,ولل
محيط,حيط
بالكافرين,كفر
يكاد,يكد
البرق,برق
يخطف,خطف
كلما,كلم
اضاء,اضء
مشوا,شوا
اظلم,ظلم
قاموا,قام
ولو,ولو
شاء,شاء
لذهب,ذهب
بسمعهم,سمع
وابصارهم,بصر
كل,كل
شىء,شىء
قدير,قدر
ياايها,ياي
اعبدوا,عبد
ربكم,ربكم
خلقكم,خلق
قبلكم,قبل
لعلكم,لعل
تتقون,تتق
جعل,جعل
لكم,لكم
فراشا,فرش
والسماء,سمء
بناء,بنء
وانزل,نزل
ماء,ماء
