word,root
بِسْمِ,بسم,بسم
ٱللَّهِ,ٱلل,الله
ٱلرَّحْمَٰنِ,ٱلرحمٰ,الرحمان
ٱلرَّحِيمِ,ٱلرحيم,الرحيم
ٱلْحَمْدُ,ٱلحمد,الحمد
لِلَّهِ,لله,لله
رَبِّ,رب,رب
ٱلْعَٰلَمِينَ,ٱلعٰلم,العالمين
مَٰلِكِ,ٰلك,مالك
يَوْمِ,يوم,يوم
ٱلدِّينِ,ٱلد,الدين
إِيَّاكَ,ايك,اياك
نَعْبُدُ,عبد,نعبد
وَإِيَّاكَ,وإا,واياك
نَسْتَعِينُ,ستع,نستعين
ٱهْدِنَا,ٱهد,اهدنا
ٱلصِّرَٰطَ,ٱلصرٰط,الصراط
ٱلْمُسْتَقِيمَ,ٱلمستقيم,المستقيم
صِرَٰطَ,صرٰط,صراط
ٱلَّذِينَ,ٱلذ,الذين
أَنْعَمْتَ,عمت,انعمت
عَلَيْهِمْ,علي,عليهم
غَيْرِ,غير,غير
ٱلْمَغْضُوبِ,ٱلمغضوب,المغضوب
وَلَا,ولا,ولا
ٱلضَّآلِّينَ,ٱلضآل,الضالين
الٓمٓ,ٓمٓ,الم
ذَٰلِكَ,ذٰل,ذالك
ٱلْكِتَٰبُ,ٱلكتٰب,الكتاب
لَا,لا,لا
رَيْبَ,ريب,ريب
فِيهِ,فيه,فيه
هُدًى,هدى,هدى
لِّلْمُتَّقِينَ,متق,للمتقين
يُؤْمِنُونَ,يؤم,يومنون
بِٱلْغَيْبِ,ٱلغيب,بالغيب
وَيُقِيمُونَ,يقم,ويقيمون
ٱلصَّلَوٰةَ,ٱلصلوٰ,الصلواة
وَمِمَّا,ومم,ومما
رَزَقْنَٰهُمْ,رزقنٰ,رزقناهم
يُنفِقُونَ,نفق,ينفقون
وَٱلَّذِينَ,ٱلذ,والذين
بِمَآ,بمٓ,بما
أُنزِلَ,نزل,انزل
إِلَيْكَ,الك,اليك
وَمَآ,ومٓ,وما
مِن,من,من
قَبْلِكَ,قبل,قبلك
وَبِٱلْءَاخِرَةِ,وبٱلءاخرة,وبالءاخرة
هُمْ,هم,هم
يُوقِنُونَ,يوق,يوقنون
أُو۟لَٰٓئِكَ,او۟لٰٓئك,اولايك
عَلَىٰ,علىٰ,علىا
مِّن,من,من
رَّبِّهِمْ,ربهم,ربهم
وَأُو۟لَٰٓئِكَ,وأو۟لٰٓئك,واولايك
هُمُ,هم,هم
ٱلْمُفْلِحُونَ,ٱلمفلح,المفلحون
إِنَّ,ان,ان
كَفَرُوا۟,كفروا۟,كفروا
سَوَآءٌ,سٓء,سواء
ءَأَنذَرْتَهُمْ,ءأنذر,ءانذرتهم
أَمْ,ام,ام
لَمْ,لم,لم
تُنذِرْهُمْ,نذر,تنذرهم
خَتَمَ,ختم,ختم
ٱللَّهُ,ٱلل,الله
قُلُوبِهِمْ,قلب,قلوبهم
وَعَلَىٰ,علىٰ,وعلىا
سَمْعِهِمْ,سمع,سمعهم
وَعَلَىٰٓ,علىٰٓ,وعلىا
أَبْصَٰرِهِمْ,صٰر,ابصارهم
غِشَٰوَةٌ,غشٰو,غشاوة
وَلَهُمْ,لهم,ولهم
عَذَابٌ,عذب,عذاب
عَظِيمٌ,عظم,عظيم
وَمِنَ,ومن,ومن
ٱلنَّاسِ,ٱلناس,الناس
مَن,من,من
يَقُولُ,يقل,يقول
ءَامَنَّا,ءام,ءامنا
بِٱللَّهِ,ٱلل,بالله
وَبِٱلْيَوْمِ,ٱليوم,وباليوم
ٱلْءَاخِرِ,ٱلءاخر,الءاخر
