word,root
بِسْمِ,بسم,بسم
ٱللَّهِ,الل,الله
ٱلرَّحْمَٰنِ,رحم,الرحمان
ٱلرَّحِيمِ,رحم,الرحيم
ٱلْحَمْدُ,حمد,الحمد
لِلَّهِ,لله,لله
رَبِّ,رب,رب
ٱلْعَٰلَمِينَ,علم,العالمين
مَٰلِكِ,الك,مالك
يَوْمِ,يوم,يوم
ٱلدِّينِ,دين,الدين
إِيَّاكَ,ايك,اياك
نَعْبُدُ,عبد,نعبد
وَإِيَّاكَ,ويا,واياك
نَسْتَعِينُ,ستع,نستعين
ٱهْدِنَا,اهد,اهدنا
ٱلصِّرَٰطَ,صرط,الصراط
ٱلْمُسْتَقِيمَ,قيم,المستقيم
صِرَٰطَ,صرط,صراط
ٱلَّذِينَ,الذين,الذين
أَنْعَمْتَ,عمت,انعمت
عَلَيْهِمْ,علي,عليهم
غَيْرِ,غير,غير
ٱلْمَغْضُوبِ,غضب,المغضوب
وَلَا,ولا,ولا
ٱلضَّآلِّينَ,ضال,الضالين
الٓمٓ,الم,الم
ذَٰلِكَ,ذلك,ذالك
ٱلْكِتَٰبُ,كتب,الكتاب
لَا,لا,لا
رَيْبَ,ريب,ريب
فِيهِ,فيه,فيه
هُدًى,هدى,هدى
لِّلْمُتَّقِينَ,متق,للمتقين
يُؤْمِنُونَ,يوم,يومنون
بِٱلْغَيْبِ,غيب,بالغيب
وَيُقِيمُونَ,يقم,ويقيمون
ٱلصَّلَوٰةَ,صلا,الصلواة
وَمِمَّا,ومم,ومما
رَزَقْنَٰهُمْ,رزق,رزقناهم
يُنفِقُونَ,نفق,ينفقون
وَٱلَّذِينَ,ذين,والذين
بِمَآ,بما,بما
أُنزِلَ,نزل,انزل
إِلَيْكَ,الك,اليك
وَمَآ,وما,وما
مِن,من,من
قَبْلِكَ,قبل,قبلك
وَبِٱلْءَاخِرَةِ,وبالءاخرة,وبالءاخرة
هُمْ,هم,هم
يُوقِنُونَ,يوق,يوقنون
أُو۟لَٰٓئِكَ,ولي,اولايك
عَلَىٰ,على,علىا
مِّن,من,من
رَّبِّهِمْ,ربهم,ربهم
وَأُو۟لَٰٓئِكَ,وول,واولايك
هُمُ,هم,هم
ٱلْمُفْلِحُونَ,فلح,المفلحون
إِنَّ,ان,ان
كَفَرُوا۟,كفر,كفروا
سَوَآءٌ,سوء,سواء
ءَأَنذَرْتَهُمْ,ءانذر,ءانذرتهم
أَمْ,ام,ام
لَمْ,لم,لم
تُنذِرْهُمْ,نذر,تنذرهم
خَتَمَ,ختم,ختم
ٱللَّهُ,الل,الله
قُلُوبِهِمْ,قلب,قلوبهم
وَعَلَىٰ,على,وعلىا
سَمْعِهِمْ,سمع,سمعهم
وَعَلَىٰٓ,على,وعلىا
أَبْصَٰرِهِمْ,بصر,ابصارهم
غِشَٰوَةٌ,غشو,غشاوة
وَلَهُمْ,لهم,ولهم
عَذَابٌ,عذب,عذاب
عَظِيمٌ,عظم,عظيم
وَمِنَ,ومن,ومن
ٱلنَّاسِ,ناس,الناس
مَن,من,من
يَقُولُ,يقل,يقول
ءَامَنَّا,ءام,ءامنا
بِٱللَّهِ,بلل,بالله
وَبِٱلْيَوْمِ,ليم,وباليوم
ٱلْءَاخِرِ,ءخر,الءاخر
وَمَا,وما,وما
هُم,هم,هم
بِمُؤْمِنِينَ,بمم,بمومنين
يُخَٰدِعُونَ,خدع,يخادعون
ٱللَّهَ,الل,الله
ءَامَنُوا۟,ءمن,ءامنوا
يَخْدَعُونَ,خدع,يخدعون
إِلَّآ,الا,الا
أَنفُسَهُمْ,نفس,انفسهم
يَشْعُرُونَ,شعر,يشعرون
فِى,فى,فى
قُلُوبِهِم,قلب,قلوبهم
مَّرَضٌ,مرض,مرض
فَزَادَهُمُ,فزد,فزادهم
مَرَضًا,رضا,مرضا
أَلِيمٌۢ,الم,اليم
بِمَا,بما,بما
كَانُوا۟,كان,كانوا
يَكْذِبُونَ,كذب,يكذبون
وَإِذَا,وذا,واذا
قِيلَ,قيل,قيل
لَهُمْ,لهم,لهم
تُفْسِدُوا۟,فسد,تفسدوا
ٱلْأَرْضِ,ارض,الارض
قَالُوٓا۟,قال,قالوا
إِنَّمَا,انم,انما
نَحْنُ,نحن,نحن
مُصْلِحُونَ,صلح,مصلحون
أَلَآ,الا,الا
إِنَّهُمْ,نهم,انهم
ٱلْمُفْسِدُونَ,فسد,المفسدون
وَلَٰكِن,ولا,ولاكن
لَّا,لا,لا
ءَامِنُوا۟,ءمن,ءامنوا
كَمَآ,كما,كما
ءَامَنَ,ءمن,ءامن
ٱلنَّاسُ,ناس,الناس
أَنُؤْمِنُ,ومن,انومن
ٱلسُّفَهَآءُ,فهء,السفهاء
يَعْلَمُونَ,علم,يعلمون
لَقُوا۟,لقا,لقوا
خَلَوْا۟,خلا,خلوا
إِلَىٰ,الى,الىا
شَيَٰطِينِهِمْ,شيط,شياطينهم
إِنَّا,انا,انا
