word,root
بسم,بسم
الله,لهله
الرحمان,رحمانان
الرحيم,رحيميم
الحمد,حمدمد
لله,لله
رب,رب
العالمين,عالمينين
مالك,مالك
يوم,يوم
الدين,دينين
اياك,اياك
نعبد,نعبد
واياك,اياكك
نستعين,نستعين
اهدنا,اهدنا
الصراط,صراطاط
المستقيم,مستقيميم
صراط,صراط
الذين,ذينين
انعمت,انعمت
عليهم,عليهم
غير,غير
المغضوب,مغضوبوب
ولا,ولا
الضالين,ضالينين
الم,الم
ذالك,ذالك
الكتاب,كتاباب
لا,لا
ريب,ريب
فيه,فيه
هدى,هدى
للمتقين,متقينين
يومنون,يومنون
بالغيب,غيبغيب
ويقيمون,يقيمونن
الصلواة,صلواةاة
ومما,مماا
رزقناهم,رزقناهم
ينفقون,ينفقون
والذين,ذينذين
بما,بما
انزل,انزل
اليك,يكيك
وما,وما
من,من
قبلك,قبلك
وبالءاخرة,بالءاخرةة
هم,هم
يوقنون,يوقنون
اولايك,اولايك
علىا,علىا
ربهم,ربهم
واولايك,اولايكك
المفلحون,مفلحونون
ان,ان
كفروا,كفروا
سواء,سواء
ءانذرتهم,ءانذرتهم
ام,ام
لم,لم
تنذرهم,تنذرهم
ختم,ختم
قلوبهم,قلوبهم
وعلىا,علىاا
سمعهم,سمعهم
ابصارهم,ابصارهم
غشاوة,غشاوة
ولهم,لهمم
عذاب,عذاب
عظيم,عظيم
ومن,ومن
الناس,ناساس
يقول,يقول
ءامنا,ءامنا
بالله,لهلله
وباليوم,باليومم
الءاخر,ءاخرخر
بمومنين,بمومنين
يخادعون,يخادعون
ءامنوا,ءامنوا
يخدعون,يخدعون
الا,الا
انفسهم,انفسهم
يشعرون,يشعرون
فى,فى
مرض,مرض
فزادهم,فزادهم
مرضا,مرضا
اليم,يميم
كانوا,كانوا
يكذبون,يكذبون
واذا,اذاا
قيل,قيل
لهم,لهم
تفسدوا,تفسدوا
الارض,ارضرض
قالوا,قالوا
انما,انما
نحن,نحن
مصلحون,مصلحون
انهم,انهم
المفسدون,مفسدونون
ولاكن,لاكنن
كما,كما
ءامن,ءامن
انومن,انومن
السفهاء,سفهاءاء
يعلمون,يعلمون
لقوا,لقوا
خلوا,خلوا
الىا,ىاىا
شياطينهم,شياطينهم
انا,انا
معكم,معكم
مستهزءون,مستهزءون
يستهزي,يستهزي
بهم,بهم
ويمدهم,يمدهمم
طغيانهم,طغيانهم
يعمهون,يعمهون
اشتروا,اشتروا
الضلالة,ضلالةلة
بالهدىا,هدىادىا
فما,فما
