word,root
بِسْمِ,بِسْمِ,بسم
ٱللَّهِ,ٱللَّهِ,الله
ٱلرَّحْمَٰنِ,ٱلرَّحْمَٰنِ,الرحمان
ٱلرَّحِيمِ,ٱلرَّحِيمِ,الرحيم
ٱلْحَمْدُ,ٱلْحَمْدُ,الحمد
لِلَّهِ,لِلَّهِ,لله
رَبِّ,رَبِّ,رب
ٱلْعَٰلَمِينَ,ٱلْعَٰلَمِينَ,العالمين
مَٰلِكِ,مَٰلِكِ,مالك
يَوْمِ,يَوْمِ,يوم
ٱلدِّينِ,ٱلدِّينِ,الدين
إِيَّاكَ,إِيَّاكَ,اياك
نَعْبُدُ,نَعْبُدُ,نعبد
وَإِيَّاكَ,َإِيَّاكََ,واياك
نَسْتَعِينُ,نَسْتَعِينُ,نستعين
ٱهْدِنَا,ٱهْدِنَا,اهدنا
ٱلصِّرَٰطَ,ٱلصِّرَٰطَ,الصراط
ٱلْمُسْتَقِيمَ,ٱلْمُسْتَقِيمَ,المستقيم
صِرَٰطَ,صِرَٰطَ,صراط
ٱلَّذِينَ,ٱلَّذِينَ,الذين
أَنْعَمْتَ,أَنْعَمْتَ,انعمت
عَلَيْهِمْ,عَلَيْهِمْ,عليهم
غَيْرِ,غَيْرِ,غير
ٱلْمَغْضُوبِ,ٱلْمَغْضُوبِ,المغضوب
وَلَا,َلَاا,ولا
ٱلضَّآلِّينَ,ٱلضَّآلِّينَ,الضالين
الٓمٓ,ٓمٓمٓ,الم
ذَٰلِكَ,ذَٰلِكَ,ذالك
ٱلْكِتَٰبُ,ٱلْكِتَٰبُ,الكتاب
لَا,لَا,لا
رَيْبَ,رَيْبَ,ريب
فِيهِ,فِيهِ,فيه
هُدًى,هُدًى,هدى
لِّلْمُتَّقِينَ,لِّلْمُتَّقِينَ,للمتقين
يُؤْمِنُونَ,يُؤْمِنُونَ,يومنون
بِٱلْغَيْبِ,بِٱلْغَيْبِ,بالغيب
وَيُقِيمُونَ,َيُقِيمُونََ,ويقيمون
ٱلصَّلَوٰةَ,ٱلصَّلَوٰةَ,الصلواة
وَمِمَّا,َمِمَّاا,ومما
رَزَقْنَٰهُمْ,رَزَقْنَٰهُمْ,رزقناهم
يُنفِقُونَ,يُنفِقُونَ,ينفقون
وَٱلَّذِينَ,َٱلَّذِينََ,والذين
بِمَآ,بِمَآ,بما
أُنزِلَ,أُنزِلَ,انزل
إِلَيْكَ,إِلَيْكَ,اليك
وَمَآ,َمَآٓ,وما
مِن,مِن,من
قَبْلِكَ,قَبْلِكَ,قبلك
وَبِٱلْءَاخِرَةِ,َبِٱلْءَاخِرَةِِ,وبالءاخرة
هُمْ,هُمْ,هم
يُوقِنُونَ,يُوقِنُونَ,يوقنون
أُو۟لَٰٓئِكَ,أُو۟لَٰٓئِكَ,اولايك
عَلَىٰ,عَلَىٰ,علىا
مِّن,مِّن,من
رَّبِّهِمْ,رَّبِّهِمْ,ربهم
وَأُو۟لَٰٓئِكَ,َأُو۟لَٰٓئِكََ,واولايك
هُمُ,هُمُ,هم
ٱلْمُفْلِحُونَ,ٱلْمُفْلِحُونَ,المفلحون
إِنَّ,إِنَّ,ان
كَفَرُوا۟,كَفَرُوا۟,كفروا
سَوَآءٌ,سَوَآءٌ,سواء
ءَأَنذَرْتَهُمْ,ءَأَنذَرْتَهُمْ,ءانذرتهم
أَمْ,أَمْ,ام
لَمْ,لَمْ,لم
تُنذِرْهُمْ,تُنذِرْهُمْ,تنذرهم
خَتَمَ,خَتَمَ,ختم
ٱللَّهُ,ٱللَّهُ,الله
قُلُوبِهِمْ,قُلُوبِهِمْ,قلوبهم
وَعَلَىٰ,َعَلَىٰٰ,وعلىا
سَمْعِهِمْ,سَمْعِهِمْ,سمعهم
