word,root
بِسْمِ,بسم,بسم
ٱللَّهِ,لهله,الله
ٱلرَّحْمَٰنِ,رحمانان,الرحمان
ٱلرَّحِيمِ,رحيميم,الرحيم
ٱلْحَمْدُ,حمدمد,الحمد
لِلَّهِ,لله,لله
رَبِّ,رب,رب
ٱلْعَٰلَمِينَ,عالمينين,العالمين
مَٰلِكِ,مالك,مالك
يَوْمِ,يوم,يوم
ٱلدِّينِ,دينين,الدين
إِيَّاكَ,اياك,اياك
نَعْبُدُ,نعبد,نعبد
وَإِيَّاكَ,اياكك,واياك
نَسْتَعِينُ,نستعين,نستعين
ٱهْدِنَا,اهدنا,اهدنا
ٱلصِّرَٰطَ,صراطاط,الصراط
ٱلْمُسْتَقِيمَ,مستقيميم,المستقيم
صِرَٰطَ,صراط,صراط
ٱلَّذِينَ,ذينين,الذين
أَنْعَمْتَ,انعمت,انعمت
عَلَيْهِمْ,عليهم,عليهم
غَيْرِ,غير,غير
ٱلْمَغْضُوبِ,مغضوبوب,المغضوب
وَلَا,ولا,ولا
ٱلضَّآلِّينَ,ضالينين,الضالين
الٓمٓ,الم,الم
ذَٰلِكَ,ذالك,ذالك
ٱلْكِتَٰبُ,كتاباب,الكتاب
لَا,لا,لا
رَيْبَ,ريب,ريب
فِيهِ,فيه,فيه
هُدًى,هدى,هدى
لِّلْمُتَّقِينَ,متقينين,للمتقين
يُؤْمِنُونَ,يومنون,يومنون
بِٱلْغَيْبِ,غيبغيب,بالغيب
وَيُقِيمُونَ,يقيمونن,ويقيمون
ٱلصَّلَوٰةَ,صلواةاة,الصلواة
وَمِمَّا,مماا,ومما
رَزَقْنَٰهُمْ,رزقناهم,رزقناهم
يُنفِقُونَ,ينفقون,ينفقون
وَٱلَّذِينَ,ذينذين,والذين
بِمَآ,بما,بما
أُنزِلَ,انزل,انزل
إِلَيْكَ,يكيك,اليك
وَمَآ,وما,وما
مِن,من,من
قَبْلِكَ,قبلك,قبلك
وَبِٱلْءَاخِرَةِ,بالءاخرةة,وبالءاخرة
هُمْ,هم,هم
يُوقِنُونَ,يوقنون,يوقنون
أُو۟لَٰٓئِكَ,اولايك,اولايك
عَلَىٰ,علىا,علىا
مِّن,من,من
رَّبِّهِمْ,ربهم,ربهم
وَأُو۟لَٰٓئِكَ,اولايكك,واولايك
هُمُ,هم,هم
ٱلْمُفْلِحُونَ,مفلحونون,المفلحون
إِنَّ,ان,ان
كَفَرُوا۟,كفروا,كفروا
سَوَآءٌ,سواء,سواء
ءَأَنذَرْتَهُمْ,ءانذرتهم,ءانذرتهم
أَمْ,ام,ام
لَمْ,لم,لم
تُنذِرْهُمْ,تنذرهم,تنذرهم
خَتَمَ,ختم,ختم
ٱللَّهُ,لهله,الله
قُلُوبِهِمْ,قلوبهم,قلوبهم
وَعَلَىٰ,علىاا,وعلىا
سَمْعِهِمْ,سمعهم,سمعهم
وَعَلَىٰٓ,علىاا,وعلىا
أَبْصَٰرِهِمْ,ابصارهم,ابصارهم
غِشَٰوَةٌ,غشاوة,غشاوة
وَلَهُمْ,لهمم,ولهم
عَذَابٌ,عذاب,عذاب
عَظِيمٌ,عظيم,عظيم
وَمِنَ,ومن,ومن
ٱلنَّاسِ,ناساس,الناس
مَن,من,من
يَقُولُ,يقول,يقول
ءَامَنَّا,ءامنا,ءامنا
بِٱللَّهِ,لهلله,بالله
وَبِٱلْيَوْمِ,باليومم,وباليوم
ٱلْءَاخِرِ,ءاخرخر,الءاخر
وَمَا,وما,وما
هُم,هم,هم
بِمُؤْمِنِينَ,بمومنين,بمومنين
يُخَٰدِعُونَ,يخادعون,يخادعون
ٱللَّهَ,لهله,الله
ءَامَنُوا۟,ءامنوا,ءامنوا
يَخْدَعُونَ,يخدعون,يخدعون
إِلَّآ,الا,الا
أَنفُسَهُمْ,انفسهم,انفسهم
يَشْعُرُونَ,يشعرون,يشعرون
فِى,فى,فى
قُلُوبِهِم,قلوبهم,قلوبهم
مَّرَضٌ,مرض,مرض
فَزَادَهُمُ,فزادهم,فزادهم
مَرَضًا,مرضا,مرضا
أَلِيمٌۢ,يميم,اليم
بِمَا,بما,بما
كَانُوا۟,كانوا,كانوا
يَكْذِبُونَ,يكذبون,يكذبون
وَإِذَا,اذاا,واذا
قِيلَ,قيل,قيل
لَهُمْ,لهم,لهم
تُفْسِدُوا۟,تفسدوا,تفسدوا
ٱلْأَرْضِ,ارضرض,الارض
قَالُوٓا۟,قالوا,قالوا
إِنَّمَا,انما,انما
نَحْنُ,نحن,نحن
مُصْلِحُونَ,مصلحون,مصلحون
أَلَآ,الا,الا
إِنَّهُمْ,انهم,انهم
ٱلْمُفْسِدُونَ,مفسدونون,المفسدون
وَلَٰكِن,لاكنن,ولاكن
لَّا,لا,لا
ءَامِنُوا۟,ءامنوا,ءامنوا
كَمَآ,كما,كما
ءَامَنَ,ءامن,ءامن
ٱلنَّاسُ,ناساس,الناس
أَنُؤْمِنُ,انومن,انومن
ٱلسُّفَهَآءُ,سفهاءاء,السفهاء
يَعْلَمُونَ,يعلمون,يعلمون
لَقُوا۟,لقوا,لقوا
خَلَوْا۟,خلوا,خلوا
إِلَىٰ,ىاىا,الىا
شَيَٰطِينِهِمْ,شياطينهم,شياطينهم
إِنَّا,انا,انا
مَعَكُمْ,معكم,معكم
مُسْتَهْزِءُونَ,مستهزءون,مستهزءون
يَسْتَهْزِئُ,يستهزي,يستهزي
بِهِمْ,بهم,بهم
وَيَمُدُّهُمْ,يمدهمم,ويمدهم
طُغْيَٰنِهِمْ,طغيانهم,طغيانهم
يَعْمَهُونَ,يعمهون,يعمهون
ٱشْتَرَوُا۟,اشتروا,اشتروا
ٱلضَّلَٰلَةَ,ضلالةلة,الضلالة
بِٱلْهُدَىٰ,هدىادىا,بالهدىا
فَمَا,فما,فما
رَبِحَت,ربحت,ربحت
تِّجَٰرَتُهُمْ,تجارتهم,تجارتهم
مُهْتَدِينَ,مهتدين,مهتدين
مَثَلُهُمْ,مثلهم,مثلهم
كَمَثَلِ,كمثل,كمثل
ٱلَّذِى,ذىذى,الذى
ٱسْتَوْقَدَ,استوقد,استوقد
نَارًا,نارا,نارا
فَلَمَّآ,فلما,فلما
أَضَآءَتْ,اضاءت,اضاءت
مَا,ما,ما
حَوْلَهُۥ,حوله,حوله
ذَهَبَ,ذهب,ذهب
بِنُورِهِمْ,بنورهم,بنورهم
وَتَرَكَهُمْ,تركهمم,وتركهم
ظُلُمَٰتٍ,ظلمات,ظلمات
يُبْصِرُونَ,يبصرون,يبصرون
صُمٌّۢ,صم,صم
بُكْمٌ,بكم,بكم
عُمْىٌ,عمى,عمى
فَهُمْ,فهم,فهم
يَرْجِعُونَ,يرجعون,يرجعون
أَوْ,او,او
كَصَيِّبٍ,كصيب,كصيب
مِّنَ,من,من
ٱلسَّمَآءِ,سماءاء,السماء
ظُلُمَٰتٌ,ظلمات,ظلمات
وَرَعْدٌ,رعدد,ورعد
وَبَرْقٌ,برقق,وبرق
يَجْعَلُونَ,يجعلون,يجعلون
أَصَٰبِعَهُمْ,اصابعهم,اصابعهم
فِىٓ,فى,فى
ءَاذَانِهِم,ءاذانهم,ءاذانهم
ٱلصَّوَٰعِقِ,صواعقعق,الصواعق
حَذَرَ,حذر,حذر
ٱلْمَوْتِ,موتوت,الموت
وَٱللَّهُ,لهلله,والله
مُحِيطٌۢ,محيط,محيط
بِٱلْكَٰفِرِينَ,كافرينرين,بالكافرين
يَكَادُ,يكاد,يكاد
ٱلْبَرْقُ,برقرق,البرق
يَخْطَفُ,يخطف,يخطف
أَبْصَٰرَهُمْ,ابصارهم,ابصارهم
كُلَّمَآ,كلما,كلما
أَضَآءَ,اضاء,اضاء
لَهُم,لهم,لهم
مَّشَوْا۟,مشوا,مشوا
وَإِذَآ,اذاا,واذا
أَظْلَمَ,اظلم,اظلم
قَامُوا۟,قاموا,قاموا
وَلَوْ,ولو,ولو
شَآءَ,شاء,شاء
لَذَهَبَ,لذهب,لذهب
بِسَمْعِهِمْ,بسمعهم,بسمعهم
وَأَبْصَٰرِهِمْ,ابصارهمم,وابصارهم
كُلِّ,كل,كل
شَىْءٍ,شىء,شىء
قَدِيرٌ,قدير,قدير
يَٰٓأَيُّهَا,ياايها,ياايها
ٱعْبُدُوا۟,اعبدوا,اعبدوا
رَبَّكُمُ,ربكم,ربكم
خَلَقَكُمْ,خلقكم,خلقكم
قَبْلِكُمْ,قبلكم,قبلكم
لَعَلَّكُمْ,لعلكم,لعلكم
تَتَّقُونَ,تتقون,تتقون
جَعَلَ,جعل,جعل
لَكُمُ,لكم,لكم
ٱلْأَرْضَ,ارضرض,الارض
فِرَٰشًا,فراشا,فراشا
وَٱلسَّمَآءَ,سماءماء,والسماء
بِنَآءً,بناء,بناء
وَأَنزَلَ,انزلل,وانزل
مِنَ,من,من
مَآءً,ماء,ماء
فَأَخْرَجَ,فاخرج,فاخرج
بِهِۦ,به,به
ٱلثَّمَرَٰتِ,ثمراتات,الثمرات
رِزْقًا,رزقا,رزقا
لَّكُمْ,لكم,لكم
فَلَا,فلا,فلا
تَجْعَلُوا۟,تجعلوا,تجعلوا
أَندَادًا,اندادا,اندادا
وَأَنتُمْ,انتمم,وانتم
تَعْلَمُونَ,تعلمون,تعلمون
وَإِن,وان,وان
كُنتُمْ,كنتم,كنتم
رَيْبٍ,ريب,ريب
مِّمَّا,مما,مما
نَزَّلْنَا,نزلنا,نزلنا
عَبْدِنَا,عبدنا,عبدنا
فَأْتُوا۟,فاتوا,فاتوا
بِسُورَةٍ,بسورة,بسورة
مِّثْلِهِۦ,مثله,مثله
وَٱدْعُوا۟,ادعواا,وادعوا
شُهَدَآءَكُم,شهداءكم,شهداءكم
دُونِ,دون,دون
إِن,ان,ان
صَٰدِقِينَ,صادقين,صادقين
فَإِن,فان,فان
لَّمْ,لم,لم
تَفْعَلُوا۟,تفعلوا,تفعلوا
وَلَن,ولن,ولن
فَٱتَّقُوا۟,فاتقوا,فاتقوا
ٱلنَّارَ,نارار,النار
ٱلَّتِى,تىتى,التى
وَقُودُهَا,قودهاا,وقودها
وَٱلْحِجَارَةُ,حجارةارة,والحجارة
أُعِدَّتْ,اعدت,اعدت
لِلْكَٰفِرِينَ,كافرينين,للكافرين
وَبَشِّرِ,بشرر,وبشر
وَعَمِلُوا۟,عملواا,وعملوا
ٱلصَّٰلِحَٰتِ,صالحاتات,الصالحات
أَنَّ,ان,ان
جَنَّٰتٍ,جنات,جنات
تَجْرِى,تجرى,تجرى
تَحْتِهَا,تحتها,تحتها
ٱلْأَنْهَٰرُ,انهارار,الانهار
كُلَّمَا,كلما,كلما
رُزِقُوا۟,رزقوا,رزقوا
مِنْهَا,منها,منها
ثَمَرَةٍ,ثمرة,ثمرة
رِّزْقًا,رزقا,رزقا
قَالُوا۟,قالوا,قالوا
هَٰذَا,هاذا,هاذا
رُزِقْنَا,رزقنا,رزقنا
قَبْلُ,قبل,قبل
وَأُتُوا۟,اتواا,واتوا
مُتَشَٰبِهًا,متشابها,متشابها
فِيهَآ,فيها,فيها
أَزْوَٰجٌ,ازواج,ازواج
مُّطَهَّرَةٌ,مطهرة,مطهرة
وَهُمْ,وهم,وهم
فِيهَا,فيها,فيها
خَٰلِدُونَ,خالدون,خالدون
يَسْتَحْىِۦٓ,يستحى,يستحى
أَن,ان,ان
يَضْرِبَ,يضرب,يضرب
مَثَلًا,مثلا,مثلا
مَّا,ما,ما
بَعُوضَةً,بعوضة,بعوضة
فَوْقَهَا,فوقها,فوقها
فَأَمَّا,فاما,فاما
فَيَعْلَمُونَ,فيعلمون,فيعلمون
أَنَّهُ,انه,انه
ٱلْحَقُّ,حقحق,الحق
وَأَمَّا,اماا,واما
فَيَقُولُونَ,فيقولون,فيقولون
مَاذَآ,ماذا,ماذا
أَرَادَ,اراد,اراد
بِهَٰذَا,بهاذا,بهاذا
يُضِلُّ,يضل,يضل
كَثِيرًا,كثيرا,كثيرا
وَيَهْدِى,يهدىى,ويهدى
بِهِۦٓ,به,به
إِلَّا,الا,الا
ٱلْفَٰسِقِينَ,فاسقينين,الفاسقين
يَنقُضُونَ,ينقضون,ينقضون
عَهْدَ,عهد,عهد
مِنۢ,من,من
بَعْدِ,بعد,بعد
مِيثَٰقِهِۦ,ميثاقه,ميثاقه
وَيَقْطَعُونَ,يقطعونن,ويقطعون
مَآ,ما,ما
أَمَرَ,امر,امر
يُوصَلَ,يوصل,يوصل
وَيُفْسِدُونَ,يفسدونن,ويفسدون
ٱلْخَٰسِرُونَ,خاسرونون,الخاسرون
كَيْفَ,كيف,كيف
تَكْفُرُونَ,تكفرون,تكفرون
وَكُنتُمْ,كنتمم,وكنتم
أَمْوَٰتًا,امواتا,امواتا
فَأَحْيَٰكُمْ,فاحياكم,فاحياكم
ثُمَّ,ثم,ثم
يُمِيتُكُمْ,يميتكم,يميتكم
يُحْيِيكُمْ,يحييكم,يحييكم
إِلَيْهِ,يهيه,اليه
تُرْجَعُونَ,ترجعون,ترجعون
هُوَ,هو,هو
خَلَقَ,خلق,خلق
لَكُم,لكم,لكم
جَمِيعًا,جميعا,جميعا
ٱسْتَوَىٰٓ,استوىا,استوىا
إِلَى,الى,الى
فَسَوَّىٰهُنَّ,فسوىاهن,فسوىاهن
سَبْعَ,سبع,سبع
سَمَٰوَٰتٍ,سماوات,سماوات
وَهُوَ,وهو,وهو
بِكُلِّ,بكل,بكل
عَلِيمٌ,عليم,عليم
وَإِذْ,واذ,واذ
قَالَ,قال,قال
رَبُّكَ,ربك,ربك
لِلْمَلَٰٓئِكَةِ,ملايكةكة,للملايكة
إِنِّى,انى,انى
جَاعِلٌ,جاعل,جاعل
خَلِيفَةً,خليفة,خليفة
أَتَجْعَلُ,اتجعل,اتجعل
يُفْسِدُ,يفسد,يفسد
وَيَسْفِكُ,يسفكك,ويسفك
ٱلدِّمَآءَ,دماءاء,الدماء
وَنَحْنُ,نحنن,ونحن
نُسَبِّحُ,نسبح,نسبح
بِحَمْدِكَ,بحمدك,بحمدك
وَنُقَدِّسُ,نقدسس,ونقدس
لَكَ,لك,لك
إِنِّىٓ,انى,انى
أَعْلَمُ,اعلم,اعلم
وَعَلَّمَ,علمم,وعلم
ءَادَمَ,ءادم,ءادم
ٱلْأَسْمَآءَ,اسماءاء,الاسماء
كُلَّهَا,كلها,كلها
عَرَضَهُمْ,عرضهم,عرضهم
عَلَى,على,على
ٱلْمَلَٰٓئِكَةِ,ملايكةكة,الملايكة
فَقَالَ,فقال,فقال
أَنۢبِـُٔونِى,انبـونى,انبـونى
بِأَسْمَآءِ,باسماء,باسماء
هَٰٓؤُلَآءِ,هاولاء,هاولاء
سُبْحَٰنَكَ,سبحانك,سبحانك
عِلْمَ,علم,علم
لَنَآ,لنا,لنا
عَلَّمْتَنَآ,علمتنا,علمتنا
إِنَّكَ,انك,انك
أَنتَ,انت,انت
